Negeri,Lokasi (Daerah),Nama Tempat,Jarak Pendakian (KM),Ketinggian (Meter),Anggaran Masa,Bentuk Muka Bumi,Trek Akhir Pendakian,Tahap kesukaran,Berkhemah
Pahang,Tanah Rata,Tringkap Hiking Trail,2,721,3,"Bukit, Tanah Tinggi, Banjaran","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",2,Tidak
Pahang,Chenor,Bukit Kertau,3,252,2,"Bukit, Susuh Bukit","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",2,Tidak
Pahang,Rompin,Bukit Ibam,4,117,1,"Bukit, Susuh Bukit","Air Terjun, Sungai, Pemandangan Setempat",2,Tidak
Pahang,Maran,Sungai Jerangkang,1,50,1,Susuh Bukit,Sungai,1,Ya
Pahang,Cameron Highland,Gunung Brinchang,4,500,4,"Gunung, Tanah Tinggi, Banjaran","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",4,Tidak
Pahang,Cameron Highland,Gunung Tangga,6,2014,6,"Gunung, Tanah Tinggi, Banjaran","Sungai, Pemandangan Setempat, Hutan Gunung / Bukit",4,Ya
Pahang,Cameron Highland,Gunung Ulu Kechau,7,1900,6,"Gunung, Tanah Tinggi, Banjaran","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",5,Ya
Pahang,Krau,Air Terjun Lata Bujang,6,20,5,"Banjaran, Susuh Bukit","Matahari Terbit/Terbenam, Air Terjun, Sungai, Hutan Gunung / Bukit",3,Ya
Pahang,Temerloh,Krau Wildlife,4,2107,5,"Gunung, Banjaran, Susuh Bukit","Air Terjun, Sungai",4,Ya
Pahang,Bukit Fraser,Abu Suradi Trail,1,100,1,"Tanah Tinggi, Banjaran","Matahari Terbit/Terbenam, Pemandangan Setempat",1,Tidak
Perak,Kerian,Gunung Semanggol,3,358,2,"Bukit, Susuh Bukit","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",3,Tidak
Perak,Kampar,Gunung Bujang Melaka,7,369,5,"Gunung, Banjaran","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",4,Ya
Perak,Kampar ,Gunung Relau,4,951,4,"Gunung, Banjaran","Air Terjun, Sungai, Hutan Gunung / Bukit",4,Ya
Perak,Tapah,Gunung Kinjang,1,850,1,"Gunung, Banjaran","Air Terjun, Sungai",4,Ya
Pahang,Tapah,Batu Putih,5,2130,5,"Gunung, Banjaran","Matahari Terbit/Terbenam, Air Terjun, Sungai, Gua, Hutan Gunung / Bukit",5,Ya
Perak,Tanjung Malim, Gunung Liang,7,4076,6,"Gunung, Banjaran","Matahari Terbit/Terbenam, Air Terjun, Sungai, Pemandangan Setempat, Hutan Gunung / Bukit",5,Ya
Perak,Slim River,Gunung Chondong Geliting,5,1829,5,"Gunung, Banjaran","Air Terjun, Sungai, Pemandangan Setempat, Hutan Gunung / Bukit",5,Ya
Perak,Slim River,Gunung Lebah,7,1522,6,"Gunung, Banjaran","Matahari Terbit/Terbenam, Air Terjun, Sungai, Pemandangan Setempat, Hutan Gunung / Bukit",4,Ya
Perak,Bidor,Gunung Bah Gading,7,1620,6,"Gunung, Banjaran","Air Terjun, Sungai, Pemandangan Setempat, Hutan Gunung / Bukit",5,Ya
Perak,Kuala Kangsar,Gunung Bubu,7,1657,6,"Gunung, Banjaran, Susuh Bukit","Matahari Terbit/Terbenam, Air Terjun, Sungai, Hutan Gunung / Bukit",4,Ya
Perak,Beruas,Gunung Sunting Buloh,3,200,3,"Gunung, Banjaran, Susuh Bukit","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",3,Ya
Perak,Pantai Remis,Bukit Segari,3,232,2,"Bukit, Tebing","Matahari Terbit/Terbenam, Air Terjun, Pemandangan Setempat, Air Laut / Pinggir Pantai",3,Tidak
Perak,Simpang Pulai,Gunung Chabang,4,1711,4,"Gunung, Tanah Tinggi, Banjaran","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",4,Ya
Perak,Cameron Highland,Gunung Suku,6,1797,4,"Gunung, Tanah Tinggi, Banjaran","Sungai, Pemandangan Setempat, Hutan Gunung / Bukit",4,Ya
Perak,Sempadan Perak - Kelantan,Gunung Gereh,7,2019,7,"Gunung, Banjaran, Susuh Bukit","Matahari Terbit/Terbenam, Air Terjun, Sungai, Hutan Gunung / Bukit",5,Ya
Perak,Ulu Chepor,Gunung Peninjau,4,1059,4,"Gunung, Banjaran","Matahari Terbit/Terbenam, Air Terjun, Sungai, Hutan Gunung / Bukit",4,Ya
Perak,Gerik,Gunung Kenderung,4,821,3,"Gunung, Banjaran","Sungai, Pemandangan Setempat, Hutan Gunung / Bukit",4,Ya
Perak,Gerik,Gunung Kerunai,4,573,4,"Gunung, Banjaran","Sungai, Hutan Gunung / Bukit",4,Ya
Perak,Gerik,Gunung Pulut,4,651,2,"Gunung, Banjaran","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",3,Tidak
Perak,Ulu Kinta,Gunung Korbu,7,2706,6,"Gunung, Banjaran","Matahari Terbit/Terbenam, Sungai, Hutan Gunung / Bukit",5,Ya
Perak,Hulu Kinta,Gunung Gayung,7,2054,7,"Gunung, Banjaran","Matahari Terbit/Terbenam, Air Terjun, Sungai, Hutan Gunung / Bukit",5,Ya
Perak,Bidor,Gunung Ulu Kinjor,4,809,6,"Gunung, Banjaran","Air Terjun, Sungai, Hutan Gunung / Bukit",4,Ya
Perak,Sungai Siput,Gunung Yong Yap,6,7113,7,"Gunung, Banjaran","Matahari Terbit/Terbenam, Sungai, Hutan Gunung / Bukit",5,Ya
Pahang,Sungai Siput,Gunung Tok Nenek ,7,1914,6,"Gunung, Banjaran","Matahari Terbit/Terbenam, Sungai, Hutan Gunung / Bukit",5,Ya
Perak,Sungai Siput,Gunung Chamah,7,1683,7,"Gunung, Banjaran","Matahari Terbit/Terbenam, Sungai, Gua, Hutan Gunung / Bukit",5,Ya
Perak,Sungai Siput,Bukit Berekeh,2,79,2,"Bukit, Susuh Bukit","Matahari Terbit/Terbenam, Pemandangan Setempat",2,Tidak
Perak,Sungai Siput,Gunung Karpet,5,454,5,"Gunung, Banjaran","Matahari Terbit/Terbenam, Air Terjun, Hutan Gunung / Bukit",4,Ya
Perak,Hulu Kinta,Gunung Junction,7,2072,6,"Gunung, Banjaran","Air Terjun, Pemandangan Setempat, Hutan Gunung / Bukit",5,Ya
Perak,Taiping,Bukit Larut,6,1273,4,"Bukit, Susuh Bukit","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",3,Tidak
Perak,Ipoh,Bukit Kledang,5,817,4,Bukit,"Matahari Terbit/Terbenam, Pemandangan Setempat",3,Tidak
Perak,Chemor,Bukit Bangkong,3,216,1,Bukit,"Matahari Terbit/Terbenam, Pemandangan Setempat",2,Tidak
Perak,Tapah,Gunung Batu Putih,5,1891,4,"Gunung, Banjaran","Air Terjun, Sungai, Hutan Gunung / Bukit",4,Ya
Perak,Tanjung Malim,Changkat Asa,3,234,2,"Bukit, Permatang, Susuh Bukit","Matahari Terbit/Terbenam, Pemandangan Setempat",2,Tidak
Perak,Trolak,Bukit Intan Memukau,2,250,1,"Bukit, Permatang, Susuh Bukit","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",2,Tidak
Perak,Sungkai,Bukit Besout,3,240,1,"Bukit, Susuh Bukit","Matahari Terbit/Terbenam, Hutan Gunung / Bukit",2,Tidak
Perak,Ulu Kinta,Bukit Batu Suluh,2,410,2,"Bukit, Susuh Bukit","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",2,Tidak
Perak,Lumut,Peak,3,40,1,"Bukit, Susuh Bukit, Tebing","Matahari Terbit/Terbenam, Pemandangan Setempat, Air Laut / Pinggir Pantai",1,Tidak
Perak,Bota,Bukit Tunggal,4,200,3,"Bukit, Susuh Bukit","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",1,Tidak
Perak,Kuala Kangsar,Bukit Chandan,4,50,1,"Bukit, Susuh Bukit","Matahari Terbit/Terbenam, Pemandangan Setempat",1,Tidak
